,short_name,long_name,age,dob,height_cm,weight_kg,nationality,Team,League,league_rank,overall,potential,wage_eur,FIFA Position,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic,Goals,General_Position,Appearances,Index
9949,M. Briceag,Marius Ionuț Briceag,27,1992-04-06,175,74,Romania,Universitatea Craiova,Romanian Liga I,1.0,66,66,3000,LB,Left,1,2,2,Medium/Medium,64.0,25.0,52.0,56.0,65.0,64.0,0,Midfielder,14,9949
9954,B. Saka,Bukayo Saka,17,2001-09-05,178,70,England,Arsenal,English Premier League,1.0,65,86,3000,"LM, RM",Left,1,4,3,High/High,83.0,60.0,58.0,67.0,37.0,59.0,0,Midfielder,16,9954
9958,J. Panzo,Jonathan Panzo,18,2000-10-25,185,72,England,AS Monaco,French Ligue 1,1.0,65,84,3000,CB,Left,1,3,2,Medium/Medium,58.0,38.0,50.0,53.0,64.0,63.0,0,Defender,2,9958
9959,T. Chong,Tahith Chong,19,1999-12-04,185,75,Netherlands,Manchester United,English Premier League,1.0,65,83,15000,"RW, LW, RM",Left,1,3,4,High/High,78.0,62.0,63.0,64.0,44.0,62.0,0,Forward,2,9959
9960,E. Smith Rowe,Emile Smith Rowe,18,2000-07-28,182,64,England,Arsenal,English Premier League,1.0,65,83,8000,"LW, RW, CAM",Right,1,3,4,High/Medium,79.0,63.0,59.0,68.0,32.0,47.0,0,Midfielder,2,9960
9961,L. Foster,Lyle Brent Foster,18,2000-09-03,185,75,South Africa,AS Monaco,French Ligue 1,1.0,65,83,4000,ST,Right,1,3,3,Medium/Medium,73.0,65.0,51.0,64.0,34.0,61.0,0,Forward,2,9961
9964,Sergio Camello,Sergio Camello Pérez,18,2001-02-10,177,70,Spain,Atlético Madrid,Spain Primera Division,1.0,65,83,5000,ST,Right,1,3,3,Medium/Medium,64.0,64.0,51.0,65.0,24.0,46.0,0,Forward,2,9964
9972,M. Antonucci,Mirko Antonucci,20,1999-03-11,181,70,Italy,Roma,Italian Serie A,1.0,65,81,8000,"LW, RW",Right,1,3,3,Medium/Medium,68.0,55.0,64.0,68.0,32.0,47.0,0,Midfielder,2,9972
9989,J. Tanganga,Japhet Tanganga,20,1999-03-31,184,73,England,Tottenham Hotspur,English Premier League,1.0,65,80,10000,CB,Left,1,3,2,Medium/Medium,63.0,22.0,43.0,51.0,64.0,66.0,0,Defender,3,9989
9991,T. Basila,Thomas Basila,20,1999-04-30,187,77,France,FC Nantes,French Ligue 1,1.0,65,80,5000,CB,Right,1,2,2,High/Medium,60.0,32.0,48.0,46.0,63.0,66.0,0,Defender,7,9991
9995,I. Louza,Imran Louza,20,1999-05-01,178,65,France,FC Nantes,French Ligue 1,1.0,65,80,5000,CM,Left,1,3,3,Medium/Medium,67.0,56.0,65.0,67.0,52.0,51.0,2,Midfielder,14,9995
9996,Álex Collado,Álex Collado Gutiérrez,20,1999-04-22,177,66,Spain,FC Barcelona,Spain Primera Division,1.0,65,80,20000,"CM, LW",Left,1,3,3,Medium/Medium,67.0,61.0,64.0,68.0,53.0,40.0,0,Midfielder,1,9996
10005,M. Chouiar,Mounir Chouiar,20,1999-01-23,177,75,France,Racing Club de Lens,French Ligue 2,2.0,65,79,3000,"LM, RM",Right,1,3,4,Medium/Medium,75.0,58.0,63.0,67.0,29.0,50.0,2,Forward,13,10005
10020,N. Boujellab,Nassim Boujellab,20,1999-06-20,181,72,Morocco,FC Schalke 04,German 1. Bundesliga,1.0,65,79,6000,"CAM, CM",Right,1,4,3,Medium/Medium,70.0,56.0,58.0,72.0,41.0,52.0,0,Forward,4,10020
10029,Luis Perea,Luis Perea Hernández,21,1997-08-25,192,80,Spain,CA Osasuna,Spain Primera Division,1.0,65,78,6000,"CM, CDM",Right,1,3,2,Medium/Medium,56.0,53.0,59.0,63.0,59.0,66.0,0,Midfielder,2,10029
10040,E. Sylvestre,Eddy Sylvestre Negadi,19,1999-08-29,173,69,France,OGC Nice,French Ligue 1,1.0,65,78,5000,"RW, CM, CAM",Left,1,3,3,Medium/Medium,65.0,64.0,58.0,71.0,27.0,45.0,0,Midfielder,1,10040
10052,S. Lo Faso,Simone Lo Faso,21,1998-02-18,179,72,Italy,Lecce,Italian Serie A,1.0,65,77,4000,"CF, CAM, LW",Right,1,5,3,High/Medium,79.0,62.0,61.0,66.0,26.0,51.0,0,Forward,0,10052
10071,K. Davis,Keinan Davis,21,1998-02-13,188,75,England,Aston Villa,English Premier League,1.0,65,76,10000,ST,Right,1,2,3,Medium/Medium,69.0,59.0,51.0,68.0,41.0,73.0,0,Forward,7,10071
10072,S. Surridge,Sam Surridge,20,1998-07-28,191,77,England,Swansea City,English League Championship,2.0,65,76,6000,ST,Right,1,3,2,High/Medium,63.0,64.0,43.0,62.0,27.0,71.0,0,Forward,1,10072
10078,A. Sabiri,Abdelhamid Sabiri,22,1996-11-28,186,80,Germany,Huddersfield Town,English League Championship,2.0,65,76,9000,"LW, CAM",Right,1,4,3,Medium/Medium,70.0,58.0,55.0,74.0,36.0,64.0,3,Midfielder,14,10078
10088,F. Chabrolle,Florian Chabrolle,21,1998-04-07,171,65,France,Olympique de Marseille,French Ligue 1,1.0,65,76,6000,"CAM, RW",Right,1,3,3,Medium/Medium,63.0,57.0,63.0,70.0,31.0,48.0,0,Midfielder,1,10088
10106,I. Azzaoui,Ismail Azzaoui,21,1998-01-06,179,72,Belgium,VfL Wolfsburg,German 1. Bundesliga,1.0,65,75,8000,"LM, ST, LW",Right,1,3,3,High/Medium,76.0,55.0,56.0,73.0,29.0,51.0,0,Midfielder,0,10106
10109,F. Reese,Fabian Reese,21,1997-11-29,187,80,Germany,FC Schalke 04,German 1. Bundesliga,1.0,65,75,6000,"RM, ST",Right,1,4,3,High/Medium,78.0,60.0,56.0,64.0,40.0,64.0,0,Forward,2,10109
10116,G. Gudmundsson,Gabriel Gudmundsson,20,1999-04-29,180,72,Sweden,FC Groningen,Holland Eredivisie,1.0,65,75,3000,"LM, RM, ST",Left,1,2,2,Medium/Medium,84.0,53.0,56.0,66.0,33.0,62.0,1,Midfielder,7,10116
10135,M. Simakan,Mohamed Simakan,19,2000-05-03,187,82,France,RC Strasbourg Alsace,French Ligue 1,1.0,65,75,4000,CB,Right,1,2,2,Medium/Medium,56.0,31.0,44.0,46.0,64.0,68.0,0,Defender,11,10135
10176,M. Munetsi,Marshall Nyasha Munetsi,23,1996-06-22,187,83,Zimbabwe,Stade de Reims,French Ligue 1,1.0,65,74,6000,"CB, CDM",Right,1,3,2,Medium/Medium,65.0,38.0,52.0,49.0,67.0,62.0,0,Midfielder,10,10176
10206,Moncayola,Jon Moncayola Tollar,21,1998-05-13,184,73,Spain,CA Osasuna,Spain Primera Division,1.0,65,74,6000,"LM, CM",Left,1,3,3,Medium/Medium,67.0,61.0,63.0,66.0,39.0,52.0,1,Midfielder,17,10206
10217,G. Mutombo,Gabriel Mutombo Kupa,23,1996-01-19,186,75,France,US Orléans Loiret Football,French Ligue 2,2.0,65,73,2000,"CB, LB",Right,1,2,2,Medium/Medium,48.0,26.0,45.0,41.0,64.0,71.0,0,Midfielder,7,10217
10230,M. Udol,Matthieu Udol,23,1996-03-20,178,79,France,FC Metz,French Ligue 1,1.0,65,73,4000,LB,Left,1,3,2,High/Medium,73.0,37.0,56.0,63.0,64.0,66.0,0,Defender,7,10230
10244,J. Bellegarde,Jean-Ricner Bellegarde,21,1998-06-27,170,66,France,RC Strasbourg Alsace,French Ligue 1,1.0,65,73,5000,"CDM, CM",Right,1,3,3,Medium/High,69.0,48.0,62.0,69.0,63.0,59.0,0,Midfielder,15,10244
10299,G. Castrovilli,Gaetano Castrovilli,22,1997-02-17,179,72,Italy,Fiorentina,Italian Serie A,1.0,65,72,10000,"CM, CAM, RW",Right,1,2,2,High/Medium,70.0,55.0,65.0,70.0,47.0,40.0,3,Midfielder,22,10299
10364,V. Slivka,Vykintas Slivka,24,1995-04-29,190,84,Lithuania,Hibernian,Scottish Premiership,1.0,65,71,3000,CM,Right,1,3,3,Medium/Medium,52.0,57.0,64.0,68.0,59.0,67.0,0,Midfielder,15,10364
10365,T. James,Thomas James,23,1996-04-15,180,75,Wales,Hibernian,Scottish Premiership,1.0,65,71,2000,"RB, LB",Right,1,3,2,Medium/High,73.0,55.0,58.0,62.0,61.0,72.0,0,Defender,6,10365
10383,S. Omeonga,Stephane Omeonga,23,1996-03-27,177,72,Belgium,KSV Cercle Brugge,Belgian Jupiler Pro League,1.0,65,71,4000,"CM, LM, CAM",Right,1,2,3,High/Medium,73.0,42.0,62.0,73.0,61.0,57.0,0,Midfielder,6,10383
10410,G. Muzinga,Glody Ngonda Muzinga,24,1994-12-31,175,70,DR Congo,Dijon FCO,French Ligue 1,1.0,65,71,4000,LB,Left,1,2,3,High/Medium,69.0,43.0,53.0,65.0,63.0,69.0,0,Defender,5,10410
10416,D. Cole,Devante Cole,24,1995-05-10,185,73,England,Motherwell,Scottish Premiership,1.0,65,70,3000,"ST, LW",Right,1,3,2,Medium/Low,90.0,63.0,47.0,64.0,25.0,59.0,4,Forward,19,10416
10423,C. Lykogiannis,Charalampos Lykogiannis,25,1993-10-22,186,78,Greece,Cagliari,Italian Serie A,1.0,65,70,7000,"LB, CB",Left,1,3,2,High/Medium,68.0,68.0,65.0,62.0,61.0,67.0,0,Defender,8,10423
10578,K. Shelton,Khiry Shelton,26,1993-06-26,191,84,United States,SC Paderborn 07,German 1. Bundesliga,1.0,65,68,7000,"ST, RW",Right,1,3,3,Medium/High,75.0,56.0,56.0,65.0,37.0,72.0,0,Forward,2,10578
10616,C. Dunne,Charles Dunne,26,1993-02-13,188,86,Republic of Ireland,Motherwell,Scottish Premiership,1.0,65,67,2000,"CB, LB",Left,1,2,2,Medium/High,83.0,38.0,48.0,58.0,63.0,74.0,0,Defender,3,10616
10659,C. Main,Curtis Main,27,1992-06-20,184,86,England,Aberdeen,Scottish Premiership,1.0,65,66,3000,ST,Right,1,3,2,High/Medium,70.0,64.0,47.0,57.0,35.0,83.0,2,Forward,15,10659
10670,C. Dikamona,Clévid Florian Dikamona,29,1990-06-23,187,86,Congo,Heart of Midlothian,Scottish Premiership,1.0,65,66,3000,"CB, RB",Right,1,3,2,Medium/Medium,61.0,22.0,43.0,51.0,59.0,78.0,0,Defender,8,10670
10674,M. Hernandez,Moisés Hernández,27,1992-03-05,183,70,Guatemala,FC Dallas,USA Major League Soccer,1.0,65,66,3000,LB,Left,1,3,2,Medium/Medium,75.0,49.0,58.0,59.0,63.0,67.0,0,Defender,1,10674
10686,N. Devlin,Nicky Devlin,25,1993-10-17,183,73,Scotland,Livingston FC,Scottish Premiership,1.0,65,66,2000,RB,Right,1,3,2,High/High,89.0,52.0,55.0,61.0,57.0,78.0,0,Defender,10,10686
10788,S. Gleeson,Stephen Gleeson,30,1988-08-03,178,80,Republic of Ireland,Aberdeen,Scottish Premiership,1.0,65,65,3000,"CDM, CM",Right,1,3,2,Medium/Medium,63.0,64.0,65.0,62.0,60.0,71.0,0,Midfielder,1,10788
10797,L. Stevenson,Lewis Stevenson,31,1988-01-05,170,67,Scotland,Hibernian,Scottish Premiership,1.0,65,65,3000,"LB, LWB",Left,1,3,2,Medium/High,63.0,43.0,60.0,67.0,64.0,68.0,0,Defender,24,10797
10812,O. Bozanic,Oliver Bozanić,30,1989-01-08,177,75,Australia,Heart of Midlothian,Scottish Premiership,1.0,65,65,3000,"CM, CDM, LM",Left,1,3,2,High/Medium,72.0,63.0,64.0,66.0,62.0,66.0,2,Midfielder,15,10812
10841,R. Flynn,Ryan Flynn,30,1988-09-04,175,60,Scotland,St. Mirren,Scottish Premiership,1.0,65,65,3000,"CM, LM, RM",Right,1,3,2,Medium/Medium,64.0,58.0,66.0,65.0,59.0,62.0,0,Midfielder,22,10841
10861,D. Templeton,David Cooper Templeton,30,1989-01-07,176,63,Scotland,Burton Albion,English League One,3.0,65,65,4000,"LM, CM",Right,1,4,4,High/Low,76.0,61.0,60.0,68.0,46.0,60.0,1,Midfielder,4,10861
10870,J. Obika,Jonathan Chiedozie Obika,28,1990-09-12,183,76,England,St. Mirren,Scottish Premiership,1.0,65,65,3000,ST,Left,1,2,2,Medium/Medium,71.0,62.0,43.0,61.0,36.0,71.0,6,Forward,26,10870
10881,P. Tomasik,Piotr Tomasik,31,1987-10-31,177,72,Poland,Wisła Płock,Polish T-Mobile Ekstraklasa,1.0,65,65,2000,LB,Left,1,3,2,High/Medium,72.0,51.0,62.0,60.0,60.0,72.0,4,Forward,4,10881
10882,A. Taylor,Ashton Taylor,28,1990-09-02,193,76,Wales,Aberdeen,Scottish Premiership,1.0,65,65,3000,CB,Right,1,2,2,Medium/Medium,59.0,36.0,41.0,47.0,62.0,78.0,1,Midfielder,11,10882
10911,S. Lawless,Steven Lawless,28,1991-04-12,170,65,Scotland,Livingston FC,Scottish Premiership,1.0,65,65,3000,"RWB, RM, LM",Left,1,4,3,High/Medium,72.0,61.0,61.0,67.0,56.0,64.0,8,Forward,27,10911
10961,A. Tabanelli,Andrea Tabanelli,29,1990-02-02,192,78,Italy,Lecce,Italian Serie A,1.0,65,65,5000,"CM, CAM",Right,1,3,2,Medium/Medium,60.0,54.0,63.0,66.0,47.0,67.0,1,Midfielder,13,10961
10974,C. Erskine,Chris Erskine,32,1987-02-08,185,76,Scotland,Livingston FC,Scottish Premiership,1.0,65,65,3000,"CAM, RM, ST",Left,1,3,3,High/Medium,64.0,63.0,61.0,68.0,28.0,57.0,0,Midfielder,10,10974
11069,A. Bjarnason,Andri Rúnar Bjarnason,28,1990-11-12,193,82,Iceland,1. FC Kaiserslautern,German 3. Bundesliga,3.0,65,65,2000,ST,Right,1,3,2,High/Low,70.0,64.0,49.0,63.0,28.0,71.0,0,Midfielder,2,11069
11076,K. Jacobs,Keaghan Jacobs,29,1989-09-09,173,69,South Africa,Livingston FC,Scottish Premiership,1.0,65,65,3000,CM,Right,1,3,2,High/High,63.0,50.0,65.0,62.0,57.0,69.0,0,Midfielder,22,11076
11096,T. Parrott,Troy Parrott,17,2002-02-04,175,72,Republic of Ireland,Tottenham Hotspur,English Premier League,1.0,64,85,4000,ST,Right,1,4,3,High/Medium,76.0,64.0,53.0,62.0,26.0,58.0,0,Forward,1,11096
11097,R. Piccoli,Roberto Piccoli,18,2001-01-27,183,78,Italy,Atalanta,Italian Serie A,1.0,64,85,5000,ST,Right,1,3,2,Medium/Medium,55.0,63.0,47.0,57.0,34.0,63.0,0,Forward,0,11097
11098,R. Brewster,Rhian Brewster,19,2000-04-01,180,75,England,Liverpool,English Premier League,1.0,64,84,10000,ST,Right,1,4,3,High/Medium,77.0,63.0,53.0,65.0,19.0,55.0,0,Forward,0,11098
11100,H. Cochrane,Harry Cochrane,18,2001-04-24,178,62,Scotland,Heart of Midlothian,Scottish Premiership,1.0,64,84,1000,"CM, CDM, CAM",Right,1,4,3,High/Medium,67.0,55.0,62.0,69.0,53.0,51.0,0,Midfielder,0,11100
11102,E. Loiodice,Enzo Loiodice,18,2000-11-27,176,60,France,Dijon FCO,French Ligue 1,1.0,64,84,2000,"CM, CDM",Left,1,3,3,Medium/Medium,56.0,45.0,59.0,70.0,56.0,47.0,0,Midfielder,5,11102
11104,G. Middleton,Glenn Bell Dollar Middleton,19,1999-12-31,176,68,Scotland,Hibernian,Scottish Premiership,1.0,64,83,2000,LW,Left,1,3,3,High/Low,86.0,53.0,56.0,68.0,28.0,50.0,0,Midfielder,6,11104
11113,I. Lihadji,Isaac Lihadji,17,2002-04-10,177,70,France,Olympique de Marseille,French Ligue 1,1.0,64,82,2000,RW,Left,1,3,4,Medium/Medium,78.0,57.0,57.0,70.0,23.0,43.0,0,Forward,2,11113
11120,Mateu Morey,Mateu Jaume Morey Bauzá,19,2000-03-02,173,67,Spain,Borussia Dortmund,German 1. Bundesliga,1.0,64,81,7000,RB,Right,1,3,3,High/Medium,76.0,45.0,59.0,69.0,57.0,52.0,0,Defender,0,11120
11123,A. Ouattara,Ben Qadir Abou Ouattara,19,1999-12-26,176,70,Burkina Faso,LOSC Lille,French Ligue 1,1.0,64,80,5000,"RM, ST, LM",Right,1,3,3,High/Medium,77.0,56.0,54.0,68.0,32.0,53.0,0,Defender,1,11123
11124,L. Balerdi,Leonardo Julián Balerdi Rossa,20,1999-01-26,187,76,Argentina,Borussia Dortmund,German 1. Bundesliga,1.0,64,80,9000,CB,Right,1,2,2,Low/Medium,66.0,30.0,47.0,49.0,64.0,67.0,0,Defender,1,11124
11127,J. Burkardt,Jonathan Michael Burkardt,18,2000-07-11,181,76,Germany,1. FSV Mainz 05,German 1. Bundesliga,1.0,64,80,3000,"ST, LW",Right,1,3,2,Medium/Medium,72.0,60.0,53.0,71.0,25.0,59.0,0,Forward,5,11127
11132,D. Kulusevski,Dejan Kulusevski,19,2000-04-25,186,75,Sweden,Parma,Italian Serie A,1.0,64,80,6000,CM,Left,1,2,2,Medium/Medium,59.0,51.0,61.0,65.0,55.0,54.0,5,Midfielder,21,11132
11135,V. Postolachi,Virgiliu Postolachi,19,2000-03-17,189,80,France,LOSC Lille,French Ligue 1,1.0,64,80,6000,ST,Right,1,3,3,High/Medium,53.0,65.0,48.0,60.0,31.0,71.0,0,Forward,0,11135
11136,A. Stanilewicz,Adrian Stanilewicz,19,2000-02-22,181,70,Poland,Bayer 04 Leverkusen,German 1. Bundesliga,1.0,64,80,7000,"CM, CDM",Right,1,4,2,Medium/High,63.0,48.0,62.0,67.0,51.0,54.0,0,Midfielder,0,11136
11138,Iker Losada,Iker Losada Aragunde,17,2001-08-01,175,70,Spain,RC Celta,Spain Primera Division,1.0,64,80,2000,"ST, CF",Right,1,3,3,Medium/Medium,70.0,67.0,49.0,66.0,33.0,54.0,1,Midfielder,2,11138
11141,A. Connolly,Aaron Anthony Connolly,19,2000-01-28,177,77,Republic of Ireland,Brighton & Hove Albion,English Premier League,1.0,64,79,7000,ST,Right,1,3,2,Medium/Low,70.0,64.0,40.0,60.0,20.0,57.0,2,Forward,16,11141
11143,K. McAllister,Kyle McAllister,20,1999-01-21,175,75,Scotland,St. Mirren,Scottish Premiership,1.0,64,79,2000,"RM, LM, ST",Left,1,3,2,Medium/Low,84.0,63.0,59.0,67.0,26.0,59.0,0,Defender,0,11143
11156,Lucas Ribeiro,Lucas Ribeiro dos Santos,20,1999-01-19,190,80,Brazil,TSG 1899 Hoffenheim,German 1. Bundesliga,1.0,64,79,5000,CB,Right,1,3,2,Medium/Medium,59.0,26.0,54.0,43.0,64.0,64.0,0,Defender,0,11156
11164,L. Fomba,Lamine Fomba,21,1998-01-26,188,68,France,AJ Auxerre,French Ligue 2,2.0,64,78,2000,"CDM, CM",Right,1,2,2,Medium/Medium,66.0,46.0,60.0,67.0,64.0,62.0,0,Midfielder,11,11164
11181,R. Sottil,Riccardo Sottil,20,1999-06-03,180,70,Italy,Fiorentina,Italian Serie A,1.0,64,78,9000,LW,Right,1,3,3,Medium/Medium,73.0,60.0,55.0,68.0,33.0,45.0,0,Forward,12,11181
11205,L. Tupta,Ľubomír Tupta,21,1998-03-27,180,72,Slovakia,Hellas Verona,Italian Serie A,1.0,64,77,4000,"ST, LW",Right,1,3,2,Medium/Medium,61.0,66.0,52.0,65.0,30.0,52.0,0,Forward,0,11205
11207,C. Vidal,Clément Vidal,19,2000-06-18,181,75,France,Montpellier HSC,French Ligue 1,1.0,64,77,4000,CB,Right,1,3,2,Medium/High,54.0,32.0,41.0,45.0,67.0,58.0,0,Defender,1,11207
11301,G. Kiltie,Greg Kiltie,22,1997-01-18,173,70,Scotland,Kilmarnock,Scottish Premiership,1.0,64,74,2000,"LM, CAM",Right,1,4,3,High/Medium,67.0,54.0,61.0,68.0,46.0,62.0,0,Defender,7,11301
11312,A. Ralston,Anthony Ralston,20,1998-11-16,178,76,Scotland,Celtic,Scottish Premiership,1.0,64,74,8000,RB,Right,1,3,2,Medium/Medium,72.0,42.0,55.0,63.0,63.0,73.0,0,Defender,22,11312
11335,N. Schlotterbeck,Nico Schlotterbeck,19,1999-12-01,191,86,Germany,SC Freiburg,German 1. Bundesliga,1.0,64,74,3000,CB,Right,1,3,2,Medium/Medium,58.0,29.0,39.0,39.0,65.0,65.0,0,Defender,9,11335
11341,I. Botella,Ivann Botella,20,1999-06-28,181,75,France,RC Strasbourg Alsace,French Ligue 1,1.0,64,74,6000,ST,Right,1,3,3,Medium/Medium,67.0,63.0,44.0,58.0,20.0,66.0,0,Forward,0,11341
11354,B. Boutobba,Bilal Boutobba,20,1998-08-29,173,65,France,Montpellier HSC,French Ligue 1,1.0,64,73,6000,"RM, CAM",Left,1,3,3,Medium/Low,66.0,59.0,55.0,77.0,21.0,37.0,0,Midfielder,1,11354
11397,S. Friede,Sidney Friede,21,1998-04-12,188,82,Germany,Hertha BSC,German 1. Bundesliga,1.0,64,73,5000,"CM, CB",Right,1,3,3,Medium/Medium,65.0,56.0,61.0,62.0,62.0,73.0,0,Midfielder,0,11397
11467,W. Falcone,Wladimiro Falcone,24,1995-04-12,195,85,Italy,Sampdoria,Italian Serie A,1.0,64,71,5000,GK,Right,1,2,1,Medium/Medium,0.0,0.0,0.0,0.0,0.0,0.0,0,Defender,1,11467
11478,S. Skrabb,Simon Ivar Alexander Skrabb,24,1995-01-19,174,75,Finland,IFK Norrköping,Swedish Allsvenskan,1.0,64,71,2000,"LWB, ST, CF",Left,1,2,3,High/Medium,75.0,65.0,63.0,67.0,56.0,67.0,0,Midfielder,2,11478
11481,B. Spittal,Blair Spittal,23,1995-12-19,183,72,Scotland,Ross County FC,Scottish Premiership,1.0,64,71,2000,"RM, LM",Right,1,3,3,High/Medium,81.0,57.0,59.0,65.0,32.0,56.0,2,Defender,17,11481
11484,Z. Vyner,Zak Vyner,22,1997-05-14,188,73,England,Aberdeen,Scottish Premiership,1.0,64,71,2000,"RB, CB",Right,1,3,2,Medium/Medium,69.0,32.0,51.0,57.0,65.0,71.0,1,Defender,16,11484
11491,A. Deiola,Alessandro Deiola,23,1995-08-01,189,85,Italy,Cagliari,Italian Serie A,1.0,64,71,6000,CM,Right,1,3,2,Medium/Medium,64.0,63.0,60.0,60.0,60.0,69.0,1,Midfielder,6,11491
11526,M. Fraser,Marcus Fraser,25,1994-06-23,182,70,Scotland,Ross County FC,Scottish Premiership,1.0,64,70,2000,"CB, RB, LB",Right,1,2,2,Medium/Medium,71.0,26.0,46.0,53.0,64.0,70.0,0,Defender,0,11526
11534,C. Long,Christopher Michael Long,24,1995-02-25,180,77,England,Motherwell,Scottish Premiership,1.0,64,70,2000,ST,Right,1,3,2,Medium/Low,74.0,61.0,50.0,63.0,28.0,61.0,6,Forward,21,11534
11535,R. Hedges,Ryan Hedges,23,1995-07-08,185,65,Wales,Aberdeen,Scottish Premiership,1.0,64,70,2000,"RM, LM",Left,1,3,3,Medium/Medium,74.0,58.0,58.0,66.0,39.0,58.0,4,Midfielder,20,11535
11568,C. Sibbald,Craig Sibbald,24,1995-05-18,170,70,Scotland,Livingston FC,Scottish Premiership,1.0,64,70,2000,"CAM, RM, LM",Right,1,3,3,Medium/Low,73.0,55.0,61.0,67.0,35.0,52.0,2,Midfielder,15,11568
11579,V. Stojanovski,Vlatko Stojanovski,22,1997-04-23,186,74,North Macedonia,Nîmes Olympique,French Ligue 1,1.0,64,70,6000,ST,Right,1,3,2,Medium/Medium,64.0,66.0,45.0,61.0,24.0,53.0,0,Midfielder,5,11579
11603,S. Chakla,Sofian Chakla,25,1993-09-02,188,73,Morocco,Villarreal CF,Spain Primera Division,1.0,64,69,6000,CB,Right,1,3,2,Medium/Medium,58.0,32.0,47.0,48.0,62.0,68.0,0,Defender,0,11603
11649,T. Haye,Thom Jan Marinus Haye,24,1995-02-09,177,74,Netherlands,Lecce,Italian Serie A,1.0,64,68,4000,"RM, CM, LM",Right,1,4,3,Medium/Low,59.0,55.0,70.0,71.0,52.0,54.0,0,Midfielder,0,11649
11693,S. Mamba,Streli Mamba,25,1994-06-17,177,75,Germany,SC Paderborn 07,German 1. Bundesliga,1.0,64,68,6000,"ST, RW",Right,1,4,2,Medium/Medium,90.0,61.0,44.0,62.0,26.0,67.0,5,Forward,17,11693
11694,I. Savane,Ibrahima Savane,25,1993-09-10,181,71,France,Livingston FC,Scottish Premiership,1.0,64,68,2000,LB,Left,1,2,2,Medium/Medium,81.0,37.0,56.0,59.0,59.0,65.0,0,Defender,1,11694
11720,Dolly Menga,Dolly Domingos Menga,26,1993-05-02,180,73,Angola,Livingston FC,Scottish Premiership,1.0,64,67,3000,"ST, RW, RM",Left,1,4,3,Medium/Low,83.0,60.0,52.0,68.0,51.0,70.0,0,Forward,3,11720
11776,J. Tillson,Jordan Tillson,26,1993-03-05,183,67,England,Exeter City,English League Two,4.0,64,66,3000,"CDM, CM",Right,1,2,2,Medium/High,58.0,44.0,56.0,61.0,60.0,73.0,0,Midfielder,5,11776
11903,J. Mullin,Josh Mullin,26,1992-09-01,178,67,Scotland,Ross County FC,Scottish Premiership,1.0,64,65,2000,RM,Right,1,3,3,High/Medium,77.0,62.0,61.0,64.0,27.0,60.0,1,Midfielder,24,11903
11913,L. Miller,Lee Miller,36,1983-05-18,188,77,Scotland,Livingston FC,Scottish Premiership,1.0,64,64,2000,ST,Right,1,3,2,Medium/Medium,49.0,64.0,61.0,59.0,43.0,76.0,1,Forward,3,11913
11918,S. MacLean,Steven George MacLean,36,1982-08-23,180,79,Scotland,Heart of Midlothian,Scottish Premiership,1.0,64,64,2000,"ST, CF",Right,1,3,2,Medium/Low,52.0,62.0,58.0,64.0,34.0,73.0,1,Forward,11,11918
11951,M. Gardyne,Michael Gardyne,33,1986-01-23,170,64,Scotland,Ross County FC,Scottish Premiership,1.0,64,64,2000,"RM, LM",Right,1,4,3,High/Medium,79.0,57.0,59.0,68.0,44.0,62.0,0,Forward,14,11951
11957,S. Davies,Steven Davies,31,1987-12-29,185,73,England,Hamilton Academical FC,Scottish Premiership,1.0,64,64,3000,ST,Left,1,3,2,Medium/Medium,36.0,65.0,60.0,62.0,40.0,69.0,2,Midfielder,13,11957
12017,B. Easton,Brian Easton,31,1988-03-05,183,76,Scotland,Hamilton Academical FC,Scottish Premiership,1.0,64,64,2000,LB,Left,1,2,2,Medium/High,61.0,17.0,55.0,59.0,63.0,73.0,0,Defender,18,12017
12062,B. McKay,Billy Robert McKay,30,1988-10-22,170,68,Northern Ireland,Ross County FC,Scottish Premiership,1.0,64,64,3000,ST,Right,1,4,2,High/Medium,71.0,64.0,52.0,65.0,23.0,68.0,5,Forward,24,12062
12130,G. Torromino,Giuseppe Torromino,31,1988-06-21,176,72,Italy,Castellammare di Stabia,Italian Serie B,2.0,64,64,1000,"LW, RW",Right,1,3,3,Medium/Medium,77.0,61.0,58.0,69.0,25.0,61.0,0,Midfielder,3,12130
12166,T. Andreu,Tony Andreu,31,1988-05-22,178,73,France,St. Mirren,Scottish Premiership,1.0,64,64,2000,"CAM, RM",Right,1,4,3,High/Low,50.0,62.0,66.0,64.0,53.0,58.0,2,Midfielder,24,12166
12167,D. MacKinnon,Darian MacKinnon,33,1985-10-09,178,74,Scotland,Hamilton Academical FC,Scottish Premiership,1.0,64,64,2000,"CDM, CM",Right,1,3,2,Medium/High,46.0,51.0,52.0,56.0,61.0,85.0,0,Midfielder,6,12167
12256,L. Agoume,Lucien Agoume,17,2002-02-09,185,75,France,Inter,Italian Serie A,1.0,63,85,2000,CM,Right,1,3,3,Medium/Medium,65.0,54.0,59.0,64.0,46.0,63.0,0,Midfielder,1,12256
12259,A. Idah,Adam Uche Idah,18,2001-02-11,190,83,Republic of Ireland,Norwich City,English Premier League,1.0,63,84,4000,ST,Right,1,3,2,High/Medium,75.0,64.0,38.0,58.0,21.0,62.0,0,Forward,2,12259
