,short_name,long_name,age,dob,height_cm,weight_kg,nationality,club_name,league_name,league_rank,overall,potential,wage_eur,player_positions,preferred_foot,international_reputation,weak_foot,skill_moves,work_rate,pace,shooting,passing,dribbling,defending,physic
17163,J. Rojas,Jhonnyer Jared Rojas Reyes,18,2002-01-20,175,70,Ecuador,SD Aucas,Ecuadorian Serie A,1.0,56,72,500,LM,Left,1,2,2,Medium/Medium,67.0,44.0,54.0,56.0,26.0,47.0
17164,J. Gamboa,Juan De Dios Gamboa Sánchez,19,2001-02-15,169,58,Mexico,Deportivo Toluca,Mexican Liga MX,1.0,56,72,2000,"RM, LM",Right,1,3,2,Medium/Medium,54.0,45.0,56.0,58.0,50.0,44.0
17165,P. Koffi,Patrick Ryan Adjo Koffi,18,2001-10-16,182,75,France,Paris FC,French Ligue 2,2.0,56,72,750,ST,Right,1,3,2,Medium/Medium,64.0,56.0,43.0,55.0,27.0,56.0
17166,M. Kvistgaarden,Mathias Kvistgaarden,18,2002-04-15,175,68,Denmark,Brøndby IF,Danish Superliga,1.0,56,72,1000,ST,Right,1,3,3,Medium/Medium,69.0,57.0,44.0,60.0,29.0,61.0
17167,N. Dailly,Niklo Dailly,18,2001-11-06,173,65,Belgium,KV Mechelen,Belgian Jupiler Pro League,1.0,56,72,1000,"ST, RW, LW",Right,1,3,2,Medium/Medium,70.0,59.0,53.0,63.0,23.0,44.0
17168,L. Zjawiński,Łukasz Zjawiński,18,2001-07-11,190,83,Poland,Stal Mielec,Polish T-Mobile Ekstraklasa,1.0,56,72,500,ST,Right,1,2,2,Medium/Medium,66.0,53.0,45.0,56.0,20.0,69.0
17169,J. Niewiadomski,Jakub Niewiadomski,18,2002-04-09,183,75,Poland,Lech Poznań,Polish T-Mobile Ekstraklasa,1.0,56,72,500,LB,Left,1,2,2,Medium/Medium,72.0,27.0,40.0,52.0,52.0,52.0
17170,N. Kotin,Nikita Kotin,17,2002-09-01,189,75,Russia,PFC CSKA Moscow,Russian Premier League,1.0,56,72,500,CB,Left,1,3,2,Medium/Medium,58.0,31.0,31.0,38.0,58.0,56.0
17171,G. Infantino,Gino Infantino,17,2003-05-19,171,63,Argentina,Rosario Central,Argentina Primera División,1.0,56,72,500,"CAM, RW",Left,1,3,2,Medium/Medium,69.0,56.0,52.0,64.0,32.0,46.0
17172,K. Bauernfeind,Kilian Bauernfeind,18,2002-04-23,177,72,Austria,WSG Tirol,Austrian Football Bundesliga,1.0,56,72,700,CM,Right,1,3,2,High/Medium,68.0,49.0,57.0,59.0,39.0,53.0
17173,M. Torlak,Mert-Yusuf Torlak,17,2002-07-18,173,67,Turkey,SpVgg Greuther Fürth,German 2. Bundesliga,2.0,56,72,500,"CAM, CF",Right,1,3,2,Medium/Medium,63.0,49.0,54.0,61.0,32.0,42.0
17174,T. Magloire,Tyler Magloire,21,1998-12-21,185,73,England,Blackburn Rovers,English League Championship,2.0,56,71,4000,"CB, RB",Right,1,2,2,Medium/Medium,89.0,26.0,31.0,40.0,55.0,67.0
17175,A. Bradley,Alex Bradley,21,1999-01-27,178,64,Finland,Lincoln City,English League One,3.0,56,71,2000,"RW, CM",Right,1,3,3,High/Medium,64.0,48.0,51.0,62.0,50.0,51.0
17176,A. Manzur,Agustín Manzur,19,2000-09-29,169,64,Argentina,Godoy Cruz,Argentina Primera División,1.0,56,71,1000,CM,Right,1,3,2,High/High,63.0,43.0,54.0,56.0,53.0,60.0
17177,M. Ugland,Mikael Ugland,20,2000-01-24,178,67,Norway,IK Start,Norwegian Eliteserien,1.0,56,71,550,LM,Right,1,3,2,Medium/Medium,66.0,44.0,50.0,61.0,31.0,46.0
17178,G. Tegue,Guillermo Alejandro Tegue Caicedo,20,2000-02-06,186,73,Colombia,Independiente Medellín,Colombian Liga Postobón,1.0,56,71,500,CB,Right,1,3,2,Medium/Medium,57.0,27.0,33.0,41.0,57.0,64.0
17179,E. Maulana Vikri,Egy Maulana Vikri,19,2000-07-07,168,65,Indonesia,Lechia Gdańsk,Polish T-Mobile Ekstraklasa,1.0,56,71,1000,"CAM, RM",Left,1,3,3,Medium/Medium,61.0,44.0,56.0,60.0,33.0,34.0
17180,I. Olaofe,Isaac Olaofe,20,1999-11-21,178,82,England,St. Johnstone FC,Scottish Premiership,1.0,56,71,1000,ST,Right,1,2,2,Medium/Medium,75.0,54.0,44.0,59.0,19.0,53.0
17181,A. Bolaños,Alexander David Bolaños Casierra,20,1999-12-12,178,68,Ecuador,Barcelona Sporting Club,Ecuadorian Serie A,1.0,56,71,500,"RW, ST",Right,1,3,2,High/Medium,75.0,50.0,52.0,58.0,33.0,66.0
17182,P. Osterhage,Patrick Osterhage,20,2000-02-01,183,73,Germany,Borussia Dortmund,German 1. Bundesliga,1.0,56,71,5000,"CM, CDM",Left,1,3,3,Medium/Medium,67.0,42.0,54.0,63.0,45.0,58.0
17183,L. Sinayoko,Lassine Sinayoko,20,1999-12-08,186,81,France,AJ Auxerre,French Ligue 2,2.0,56,71,1000,ST,Right,1,3,2,High/Low,56.0,60.0,41.0,51.0,20.0,60.0
17184,O. Uzun,Ömer Uzun,20,2000-02-23,185,75,Turkey,Kayserispor,Turkish Süper Lig,1.0,56,71,2000,ST,Left,1,3,2,Medium/Low,52.0,61.0,46.0,53.0,23.0,38.0
17185,A. Peña,Aldair Edgardo Peña Torres,19,2000-10-12,179,64,Venezuela,Estudiantes de Mérida,Venezuelan Primera División,1.0,56,71,500,GK,Right,1,2,1,Medium/Medium,,,,,,
17186,S. Pierotti,Santiago Pierotti,19,2001-04-03,187,82,Argentina,Club Atlético Colón,Argentina Primera División,1.0,56,71,1000,CAM,Right,1,3,3,Medium/Medium,63.0,57.0,51.0,58.0,31.0,64.0
17187,L. Schleimer,Lukas Schleimer,20,1999-12-12,180,73,Germany,1. FC Nürnberg,German 2. Bundesliga,2.0,56,71,2000,"CAM, CM",Right,1,3,3,Medium/Medium,65.0,50.0,54.0,59.0,40.0,37.0
17188,C. Menacho,Clody Yunior Menacho Salvatierra,18,2001-11-08,177,72,Bolivia,Club Blooming,Liga de Fútbol Profesional Boliviano,1.0,56,71,500,CM,Right,1,3,2,High/Medium,75.0,47.0,50.0,63.0,47.0,57.0
17189,E. van der Gouw,Ennio van der Gouw,19,2001-01-01,195,81,Netherlands,FC Twente,Holland Eredivisie,1.0,56,71,550,GK,Right,1,3,1,Medium/Medium,,,,,,
17190,L. Casiani,Luis Fernando Casiani Zúñiga,18,2001-07-20,175,70,Venezuela,Caracas FC,Venezuelan Primera División,1.0,56,71,500,RB,Right,1,2,2,Medium/Medium,54.0,27.0,46.0,45.0,53.0,55.0
17191,M. Caicedo,Moisés Isaac Caicedo Corozo,18,2001-11-02,178,73,Ecuador,Independiente del Valle,Ecuadorian Serie A,1.0,56,71,500,CM,Right,1,3,2,Medium/Medium,61.0,47.0,50.0,56.0,48.0,62.0
17192,Y. Rodríguez,Michael Yosimar Rodríguez Quiñonez,20,2000-01-27,183,73,Ecuador,Audax Italiano,Chilian Campeonato Nacional,1.0,56,71,950,ST,Right,1,2,2,Medium/Medium,61.0,60.0,38.0,47.0,20.0,53.0
17193,I. Schmidt,Isaac Osa's Schmidt,20,1999-12-07,172,68,Switzerland,FC Lausanne-Sport,Swiss Super League,1.0,56,71,2000,"RW, RM",Right,1,3,2,Medium/Medium,73.0,51.0,48.0,60.0,20.0,49.0
17194,G. Başkan,Gürkan Başkan,18,2002-04-01,190,75,Turkey,Fenerbahçe SK,Turkish Süper Lig,1.0,56,71,2000,CB,Right,1,2,2,Low/Medium,55.0,28.0,33.0,37.0,58.0,58.0
17195,F. Rillo,Francesco Rillo,20,2000-05-23,177,70,Italy,Benevento,Italian Serie A,1.0,56,71,2000,LB,Left,1,2,2,Medium/Medium,66.0,28.0,47.0,60.0,51.0,46.0
17196,A. Oroian,Alexandru Laurențiu Oroian,19,2001-01-27,180,72,Romania,UTA Arad,Romanian Liga I,1.0,56,71,650,RM,Right,1,2,2,Medium/Medium,67.0,47.0,51.0,58.0,28.0,49.0
17197,D. Frelek,Dominik Frelek,18,2001-10-11,183,74,Poland,Podbeskidzie Bielsko-Biała,Polish T-Mobile Ekstraklasa,1.0,56,71,500,CDM,Right,1,2,2,Low/Medium,63.0,35.0,47.0,51.0,54.0,63.0
17198,E. Bristow,Ethan Bristow,18,2001-11-27,179,68,England,Reading,English League Championship,2.0,56,71,650,"LB, CB",Left,1,3,2,High/High,78.0,30.0,47.0,55.0,49.0,66.0
17199,L. Miguel,Leonel Miguel,19,2001-03-24,180,75,Netherlands,FC Groningen,Holland Eredivisie,1.0,56,71,850,CB,Right,1,3,2,Medium/Medium,58.0,27.0,32.0,37.0,58.0,56.0
17200,M. Warming,Magnus Warming,20,2000-06-08,185,70,Denmark,Lyngby BK,Danish Superliga,1.0,56,70,2000,ST,Right,1,3,2,High/Medium,76.0,53.0,51.0,57.0,31.0,48.0
17201,J. Löwe,Justin Löwe,21,1998-12-30,168,65,Germany,SG Dynamo Dresden,German 3. Bundesliga,3.0,56,70,1000,"CM, LB",Right,1,3,2,Medium/Medium,66.0,53.0,56.0,64.0,40.0,44.0
17202,J. Moreno,Juan Esteban Moreno Córdoba,20,1999-07-09,194,84,Colombia,Millonarios FC,Colombian Liga Postobón,1.0,56,70,500,GK,Right,1,2,1,Medium/Medium,,,,,,
17203,J. Kayode,Joshua Kayode,20,2000-05-04,191,75,Nigeria,Carlisle United,English League Two,4.0,56,70,2000,ST,Right,1,3,2,High/Medium,70.0,54.0,34.0,56.0,22.0,64.0
17204,A. Hunt,Alex Hunt,20,2000-05-29,170,60,England,Sheffield Wednesday,English League Championship,2.0,56,70,2000,CM,Right,1,3,2,Medium/Medium,62.0,45.0,56.0,63.0,47.0,38.0
17205,O. Klitten,Oliver Klitten,20,2000-05-01,182,71,Denmark,Aalborg BK,Danish Superliga,1.0,56,70,2000,LW,Right,1,3,2,Medium/Medium,69.0,50.0,49.0,57.0,22.0,49.0
17206,M. Sangare,Mohammed Sangare,21,1998-12-28,191,83,Liberia,Accrington Stanley,English League One,3.0,56,70,800,"CM, CDM",Left,1,3,2,Medium/Medium,63.0,46.0,51.0,58.0,50.0,71.0
17207,J. Gauci,Joe Gauci,19,2000-07-04,193,78,Australia,Melbourne City FC,Australian Hyundai A-League,1.0,56,70,650,GK,Right,1,3,1,Medium/Medium,,,,,,
17208,A. Odimayo,Akinwale Joseph Odimayo,20,1999-11-28,183,75,England,Swindon Town,English League One,3.0,56,70,1000,CB,Left,1,2,2,Medium/Medium,61.0,22.0,39.0,43.0,57.0,59.0
17209,N. Simon,Nsana Simon,20,2000-03-11,171,62,France,Racing Club de Lens,French Ligue 1,1.0,56,70,4000,CM,Left,1,5,3,High/Medium,66.0,38.0,56.0,64.0,55.0,43.0
17210,K. Dimitriou,Konstantinos Dimitriou,21,1999-06-30,186,78,Greece,FC Basel 1893,Swiss Super League,1.0,56,70,2000,CB,Right,1,2,2,Low/Medium,53.0,28.0,32.0,33.0,58.0,64.0
17211,J. Cifuentes,Juan Daniel Cifuentes Vergara,21,1999-04-21,182,77,Colombia,América de Cali,Colombian Liga Postobón,1.0,56,70,500,CB,Right,1,3,2,Medium/Medium,67.0,25.0,40.0,34.0,56.0,65.0
17212,G. Bajrami,Geraldo Bajrami,20,1999-09-24,182,78,Albania,Birmingham City,English League Championship,2.0,56,70,2000,CB,Right,1,2,2,Medium/Medium,61.0,48.0,30.0,33.0,59.0,57.0
17213,T. Buchanan,Tajon Buchanan,21,1999-02-08,183,69,Canada,New England Revolution,USA Major League Soccer,1.0,56,70,1000,RM,Right,1,3,2,High/Medium,81.0,53.0,42.0,61.0,22.0,57.0
17214,H. Matsumoto,松本 大弥,19,2000-08-10,180,73,Japan,Sanfrecce Hiroshima,Japanese J. League Division 1,1.0,56,70,1000,"CM, RM, RB",Right,1,2,2,Medium/Medium,57.0,47.0,53.0,60.0,51.0,65.0
17215,L. McNally,Luke McNally,20,1999-09-20,184,86,Republic of Ireland,St. Patrick's Athletic,Rep. Ireland Airtricity League,1.0,56,70,500,CB,Right,1,2,2,Medium/Medium,50.0,26.0,39.0,37.0,54.0,66.0
17216,H. Fujii,藤井 陽也,19,2000-12-26,187,76,Japan,Nagoya Grampus,Japanese J. League Division 1,1.0,56,70,550,"CB, RB",Right,1,3,2,Medium/Medium,64.0,35.0,48.0,51.0,53.0,65.0
17217,S. Tengstedt,Søren Tengstedt,20,2000-06-30,187,82,Denmark,Aarhus GF,Danish Superliga,1.0,56,70,2000,"ST, RW",Left,1,4,2,Medium/Low,76.0,52.0,49.0,58.0,21.0,57.0
17218,M. Nilsson,Melker Nilsson,20,2000-04-26,183,65,Sweden,Falkenbergs FF,Swedish Allsvenskan,1.0,56,70,500,"CB, CDM",Right,1,2,2,Medium/Medium,66.0,36.0,45.0,54.0,54.0,58.0
17219,A. Ohata,大畑 歩夢,19,2001-04-27,168,63,Japan,Sagan Tosu,Japanese J. League Division 1,1.0,56,70,500,"RB, LB",Right,1,3,2,Medium/Medium,62.0,29.0,42.0,54.0,56.0,49.0
17220,B. Osei,Kwaku Bonsu Osei,19,2000-08-17,168,66,Ghana,Caracas FC,Venezuelan Primera División,1.0,56,70,500,RW,Right,1,2,3,Medium/Medium,74.0,53.0,48.0,58.0,24.0,42.0
17221,R. Kawamoto,川本 梨,19,2001-06-11,178,70,Japan,Shimizu S-Pulse,Japanese J. League Division 1,1.0,56,70,550,"ST, CF",Right,1,4,2,High/Medium,59.0,57.0,47.0,50.0,24.0,59.0
17222,E. Valencia,Esteban Cristóbal Valencia Reyes,20,1999-08-13,176,68,Chile,Unión La Calera,Chilian Campeonato Nacional,1.0,56,70,500,CM,Right,1,3,2,Medium/Medium,69.0,42.0,54.0,62.0,40.0,53.0
17223,Y. Matsumara,松村 優太,19,2001-04-14,173,63,Japan,Kashima Antlers,Japanese J. League Division 1,1.0,56,70,950,RM,Right,1,2,3,High/Low,74.0,40.0,48.0,65.0,22.0,29.0
17224,S. Estacio,Silvano Denilson Estacio Mina,18,2002-04-29,175,70,Ecuador,Emelec,Ecuadorian Serie A,1.0,56,70,500,RM,Right,1,3,3,Medium/Medium,64.0,48.0,53.0,54.0,30.0,49.0
17225,L. Borgström,Linus Borgström,19,2001-06-16,181,75,Sweden,Malmö FF,Swedish Allsvenskan,1.0,56,70,700,RB,Right,1,3,2,High/High,71.0,23.0,40.0,50.0,48.0,65.0
17226,V. Pizarro,Vicente Tomás Pizarro Durcudoy,17,2002-11-05,172,67,Chile,Colo-Colo,Chilian Campeonato Nacional,1.0,56,70,500,"CDM, CM",Left,1,3,2,Medium/Medium,60.0,39.0,52.0,51.0,53.0,61.0
17227,L. Gütlbauer,Lukas Gütlbauer,19,2000-12-06,191,80,Austria,SV Ried,Austrian Football Bundesliga,1.0,56,70,600,GK,Right,1,2,1,Medium/Medium,,,,,,
17228,I. Dahlqvist,Isak Dahlqvist,18,2001-09-25,171,65,Sweden,IFK Göteborg,Swedish Allsvenskan,1.0,56,70,500,RM,Right,1,2,2,Medium/Medium,74.0,49.0,49.0,62.0,23.0,38.0
17229,P. Trindade,Patrick Trindade,18,2002-03-06,189,77,France,Pau FC,French Ligue 2,2.0,56,70,500,GK,Right,1,2,1,Medium/Medium,,,,,,
17230,F. Nyenetue,Franklin Nyenetue,19,2000-11-16,175,70,Norway,Rosenborg BK,Norwegian Eliteserien,1.0,56,70,900,RW,Left,1,3,3,High/Medium,80.0,53.0,48.0,57.0,26.0,52.0
17231,D. Tescan,Dragoș Sebastian Tescan,20,1999-09-15,180,67,Romania,UTA Arad,Romanian Liga I,1.0,56,70,900,RM,Right,1,2,2,Medium/Medium,74.0,45.0,51.0,56.0,26.0,48.0
17232,S. Cestic,Sava-Arangel Cestic,19,2001-02-19,192,80,Germany,1. FC Köln,German 1. Bundesliga,1.0,56,70,2000,CB,Right,1,3,2,Medium/Medium,62.0,28.0,31.0,36.0,58.0,63.0
17233,R. Najjarine,Ramy Najjarine,20,2000-04-23,176,71,Australia,Melbourne City FC,Australian Hyundai A-League,1.0,56,69,2000,"LM, CAM",Left,1,3,4,High/Medium,52.0,37.0,57.0,62.0,38.0,47.0
17234,A. Alese,Ajibola Alese,19,2001-01-17,185,70,England,West Ham United,English Premier League,1.0,56,69,3000,CB,Right,1,3,2,Medium/Medium,54.0,34.0,38.0,42.0,56.0,62.0
17235,A. Edqvist,Adrian Edqvist,21,1999-05-20,178,75,Sweden,Kalmar FF,Swedish Allsvenskan,1.0,56,69,600,RM,Right,1,3,2,Medium/Medium,84.0,45.0,46.0,61.0,33.0,46.0
17236,T. Al Otaibi,Thaar Al Otaibi,20,1999-10-13,173,65,Saudi Arabia,Al Taawoun,Saudi Abdul L. Jameel League,1.0,56,69,3000,"RM, LM",Right,1,3,2,Medium/Low,66.0,47.0,49.0,62.0,35.0,40.0
17237,Wang Xianjun,王献钧,20,2000-06-01,184,70,China PR,Dalian YiFang FC,Chinese Super League,1.0,56,69,2000,CDM,Right,1,2,2,Low/High,66.0,37.0,48.0,50.0,52.0,60.0
17238,S. Woods,Sam Woods,21,1998-09-11,186,77,England,Crystal Palace,English Premier League,1.0,56,69,5000,CB,Right,1,2,2,Medium/Medium,40.0,25.0,35.0,36.0,57.0,58.0
17239,P. Plewka,Patryk Plewka,20,2000-01-02,174,66,Poland,Wisła Kraków,Polish T-Mobile Ekstraklasa,1.0,56,69,750,"CM, LM",Right,1,2,2,Medium/Medium,65.0,47.0,57.0,58.0,47.0,53.0
17240,J. Brauti,Jonas Vatne Brauti,21,1999-05-14,190,76,Norway,Stabæk Fotball,Norwegian Eliteserien,1.0,56,69,500,GK,Right,1,2,1,Medium/Medium,,,,,,
17241,Lee Sang Jun,Sang Jun Lee,20,1999-10-14,170,60,Korea Republic,Busan IPark,Korean K League Classic,1.0,56,69,800,RB,Right,1,3,2,Medium/Medium,73.0,28.0,47.0,56.0,50.0,46.0
17242,D. De Vita,Dario De Vita,20,2000-02-12,189,77,Germany,Viktoria Köln,German 3. Bundesliga,3.0,56,69,600,CB,Right,1,4,2,Low/Medium,62.0,30.0,37.0,40.0,54.0,67.0
17243,C. Gustafsson,Carl Gustafsson,20,2000-03-18,182,77,Sweden,Kalmar FF,Swedish Allsvenskan,1.0,56,69,600,CM,Right,1,3,2,Medium/Medium,61.0,46.0,56.0,57.0,36.0,57.0
17244,E. Carratala Jimenez,Ernesto Carratala Jiménez,20,1999-11-10,176,71,Germany,Viktoria Köln,German 3. Bundesliga,3.0,56,69,700,"RM, LM",Right,1,3,3,High/Low,68.0,50.0,48.0,62.0,21.0,45.0
17245,A. Popa,Albert Ionuț Popa,21,1999-04-05,182,79,Romania,Gaz Metan Mediaş,Romanian Liga I,1.0,56,69,900,GK,Right,1,3,1,Medium/Medium,,,,,,
17246,I. Reyes,Israel Reyes Romero,20,2000-05-23,179,75,Mexico,Puebla FC,Mexican Liga MX,1.0,56,69,1000,CM,Right,1,4,2,Medium/Medium,62.0,50.0,56.0,56.0,51.0,57.0
17247,S. Sutton,Sam Sutton,18,2001-12-10,175,71,New Zealand,Wellington Phoenix,Australian Hyundai A-League,1.0,56,69,500,"CAM, CM",Right,1,3,2,Medium/Medium,61.0,49.0,61.0,58.0,42.0,55.0
17248,H. Van der Saag,Harry Van der Saag,20,1999-10-29,180,73,Australia,Sydney FC,Australian Hyundai A-League,1.0,56,69,1000,RB,Right,1,2,2,Medium/Medium,64.0,29.0,44.0,54.0,52.0,68.0
17249,M. Miranda,Matías Miranda,20,2000-05-05,174,65,Argentina,Gimnasia y Esgrima La Plata,Argentina Primera División,1.0,56,69,2000,"CAM, LM",Left,1,3,3,Medium/Medium,63.0,50.0,54.0,64.0,34.0,45.0
17250,G. Campbell,George Campbell,19,2001-06-22,191,79,United States,Atlanta United,USA Major League Soccer,1.0,56,69,650,CB,Right,1,3,2,Medium/Medium,56.0,24.0,34.0,32.0,56.0,67.0
17251,R. Renteria,Rockson Alexander Renteria Ovando,18,2001-10-25,177,70,Ecuador,Universidad Católica del Ecuador,Ecuadorian Serie A,1.0,56,69,500,CM,Right,1,3,3,Medium/Medium,58.0,51.0,48.0,56.0,47.0,51.0
17252,J. Gullan,Jamie Gullan,20,1999-07-02,183,75,Scotland,Hibernian,Scottish Premiership,1.0,56,69,1000,ST,Right,1,3,3,Medium/Medium,69.0,57.0,39.0,53.0,18.0,54.0
17253,J. Weigel,Julian Weigel,18,2001-07-14,185,80,Germany,1. FC Magdeburg,German 3. Bundesliga,3.0,56,69,500,CDM,Right,1,3,2,Medium/Medium,54.0,36.0,48.0,43.0,55.0,68.0
17254,D. Haimerl,Deniz Haimerl,17,2003-03-19,187,74,Germany,SpVgg Unterhaching,German 3. Bundesliga,3.0,56,69,500,CB,Right,1,3,2,Medium/Medium,60.0,25.0,35.0,44.0,54.0,64.0
17255,L. Jones,Louis Jones,21,1998-10-12,185,74,England,Doncaster Rovers,English League One,3.0,56,68,1000,GK,Right,1,3,1,Medium/Medium,,,,,,
17256,D. Dalling,Deshane Dalling,21,1998-08-13,176,70,England,Cork City,Rep. Ireland Airtricity League,1.0,56,68,500,"LM, LW",Right,1,4,2,Medium/Medium,80.0,44.0,50.0,59.0,32.0,48.0
17257,D. Duncan,Dylan Duncan,21,1999-01-25,173,75,England,Queens Park Rangers,English League Championship,2.0,56,68,1000,"CM, CAM",Right,1,3,3,Medium/Medium,71.0,48.0,58.0,60.0,48.0,51.0
17258,Z. Mohammed,Zehn Mohammed,20,2000-02-28,185,75,England,Accrington Stanley,English League One,3.0,56,68,700,CB,Right,1,2,2,Low/High,64.0,34.0,38.0,44.0,55.0,66.0
17259,T. Knowles,Tom Knowles,21,1998-09-27,183,70,England,Cambridge United,English League Two,4.0,56,68,2000,RM,Right,1,3,2,Medium/Medium,79.0,50.0,48.0,55.0,33.0,58.0
17260,S. Lippert,Sören Torge Lippert,20,1999-10-09,193,81,Germany,VfB Lübeck,German 3. Bundesliga,3.0,56,68,500,CB,Right,1,3,2,Medium/Medium,51.0,26.0,38.0,34.0,55.0,66.0
17261,Park Tae Jun,Tae Jun Park,21,1999-01-19,175,62,Korea Republic,Seongnam FC,Korean K League Classic,1.0,56,68,750,CM,Right,1,3,2,High/High,62.0,47.0,56.0,57.0,40.0,63.0
17262,F. González,Franco Raúl González,21,1999-03-07,179,70,Argentina,Godoy Cruz,Argentina Primera División,1.0,56,68,1000,CM,Right,1,2,2,Medium/Medium,68.0,47.0,55.0,59.0,53.0,53.0
17263,C. Kearns,Conor Kearns,22,1998-05-06,188,76,Republic of Ireland,St. Patrick's Athletic,Rep. Ireland Airtricity League,1.0,56,68,500,GK,Right,1,1,1,Medium/Medium,,,,,,
17264,H. Constant,Hugo Constant,20,1999-11-26,183,70,France,AS Nancy Lorraine,French Ligue 2,2.0,56,68,550,GK,Right,1,2,1,Medium/Medium,,,,,,
17265,H. Ali,Hussein Ali,18,2002-03-01,180,74,Sweden,Örebro SK,Swedish Allsvenskan,1.0,56,68,500,RB,Right,1,3,2,Medium/Medium,70.0,27.0,45.0,52.0,51.0,55.0
17266,R. Taylor,Richard Taylor,19,2000-10-02,189,74,England,Southend United,English League Two,4.0,56,68,1000,CB,Left,1,2,2,Medium/Medium,62.0,26.0,33.0,46.0,55.0,65.0
17267,T. Schlitter,Tom Schlitter,18,2002-05-17,180,68,Germany,1. FC Magdeburg,German 3. Bundesliga,3.0,56,68,500,GK,Right,1,4,1,Medium/Medium,,,,,,
17268,M. Sütçü,Murathan Sütçü,20,2000-02-17,180,72,Turkey,Denizlispor,Turkish Süper Lig,1.0,56,68,3000,LB,Left,1,3,2,Low/Medium,59.0,29.0,40.0,56.0,57.0,54.0
17269,J. Powell,Johl Powell,19,2001-06-06,175,72,England,Charlton Athletic,English League One,3.0,56,68,750,RB,Right,1,3,2,Medium/Medium,65.0,28.0,42.0,52.0,54.0,57.0
17270,A. Al Hamlawi,Assad Al Hamlawi,19,2000-10-27,180,75,Sweden,Helsingborgs IF,Swedish Allsvenskan,1.0,56,68,500,ST,Right,1,2,2,Medium/High,65.0,56.0,43.0,54.0,30.0,59.0
17271,J. Kabia,Jaze Kabia,19,2000-08-07,175,65,Republic of Ireland,Shelbourne FC,Rep. Ireland Airtricity League,1.0,56,68,500,"RM, ST",Right,1,4,2,Medium/Medium,71.0,52.0,47.0,57.0,35.0,52.0
17272,S. Obissa,Sidney Obissa,20,2000-05-04,190,86,Gabon,AC Ajaccio,French Ligue 2,2.0,56,68,750,CB,Right,1,2,2,Low/Medium,48.0,27.0,34.0,39.0,56.0,63.0
17273,A. Johnston,Alistair Johnston,21,1998-10-08,180,77,Canada,Nashville SC,USA Major League Soccer,1.0,56,68,1000,"RM, CDM",Right,1,3,2,High/High,76.0,41.0,51.0,56.0,43.0,55.0
17274,V. Fiskerstrand,Vetle Fiskerstrand,20,2000-03-14,174,65,Norway,Aalesunds FK,Norwegian Eliteserien,1.0,56,68,700,ST,Right,1,3,2,Medium/Medium,81.0,55.0,42.0,55.0,22.0,49.0
17275,D. Ghindovean,Darius Dacian Ghindovean,18,2001-11-01,181,78,Romania,MSV Duisburg,German 3. Bundesliga,3.0,56,68,500,"CAM, RM",Right,1,3,2,Medium/Medium,63.0,47.0,56.0,59.0,32.0,49.0
17276,C. Jan,Charly Jan,21,1999-05-27,186,81,France,FC Nantes,French Ligue 1,1.0,56,68,2000,GK,Right,1,2,1,Medium/Medium,,,,,,
17277,S. Hopeau,Shandon Hopeau,21,1998-12-01,180,73,United States,Seattle Sounders FC,USA Major League Soccer,1.0,56,68,1000,"RM, RW",Right,1,3,2,Medium/Medium,65.0,45.0,51.0,58.0,25.0,46.0
17278,Z. Al-Hussaini,Zaid Al-Hussaini,20,2000-06-07,179,70,England,Crawley Town,English League Two,4.0,56,68,1000,"CAM, RM",Left,1,2,3,High/Medium,77.0,49.0,51.0,59.0,29.0,46.0
17279,I. Russo,Ignacio Russo,19,2000-12-13,177,70,Argentina,Rosario Central,Argentina Primera División,1.0,56,68,2000,ST,Right,1,3,2,Medium/Medium,65.0,57.0,46.0,59.0,21.0,50.0
17280,T. Pozzo,Tomás Pozzo,19,2000-09-27,175,70,Argentina,Independiente,Argentina Primera División,1.0,56,68,2000,CM,Left,1,2,2,Medium/Medium,70.0,49.0,58.0,64.0,40.0,48.0
17281,R. Riza,Robert Riza,21,1999-06-09,181,77,Romania,Astra Giurgiu,Romanian Liga I,1.0,56,68,2000,RW,Left,1,3,2,Medium/Medium,71.0,55.0,46.0,57.0,24.0,55.0
17282,P. Komposch,Paul Komposch,19,2001-05-13,180,70,Austria,SK Sturm Graz,Austrian Football Bundesliga,1.0,56,68,2000,CB,Right,1,3,2,Medium/Medium,69.0,29.0,33.0,37.0,59.0,54.0
17283,R. Cundy,Robbie Cundy,23,1997-05-30,188,82,England,Cambridge United,English League Two,4.0,56,67,2000,CB,Right,1,3,2,High/Medium,54.0,24.0,34.0,30.0,57.0,64.0
17284,M. Stajduhar,Mason Stajduhar,22,1997-12-02,188,86,United States,Orlando City SC,USA Major League Soccer,1.0,56,67,850,GK,Right,1,2,1,Medium/Medium,,,,,,
17285,R. East,Ryan Henry East,21,1998-08-07,176,70,England,Reading,English League Championship,2.0,56,67,2000,"CM, CDM",Left,1,3,2,Medium/Medium,69.0,49.0,58.0,62.0,40.0,42.0
17286,S. Hobson,Shaun Hobson,22,1998-06-29,182,74,England,Southend United,English League Two,4.0,56,67,2000,CB,Right,1,3,2,Medium/Medium,65.0,37.0,37.0,46.0,55.0,66.0
17287,K. Guessoum,Kelyan Guessoum,21,1999-02-05,176,70,France,Nîmes Olympique,French Ligue 1,1.0,56,67,2000,CB,Right,1,2,2,Medium/Medium,58.0,35.0,45.0,34.0,58.0,53.0
